DATE,FIRECOUNT,WD,RH,WS,AT,CONST,GSDP,GSVA,GSDP_CAP,HDI,NO2,CO,PM10,PM25,SO2
29-11-2012,12,131.34,51.64,0.48,16.58,,391388,342588,225117,0.713,290.86,2.14,NaN,145.75,15.71
30-11-2012,24,237.62,65.8,0.54,14.58,,391388,342588,225117,0.713,137.29,1.72,NaN,42.01,8.78
01-12-2012,20,240.47,47.95,0.58,14.57,,391388,342588,225117,0.713,96.96,1.23,NaN,25.85,6.6
02-12-2012,21,213.09,45.89,0.42,13.87,,391388,342588,225117,0.713,411.28,3.99,NaN,125.66,15.19
03-12-2012,42,218.79,46.07,0.46,13.99,,391388,342588,225117,0.713,294.08,2.35,NaN,136,7
04-12-2012,28,232.15,44.08,0.59,14.29,,391388,342588,225117,0.713,215.12,1.88,NaN,131.71,7
05-12-2012,17,230.52,40.49,0.61,14.84,,391388,342588,225117,0.713,161.41,1.76,NaN,116.38,7
06-12-2012,23,228.29,38.9,0.6,15.73,,391388,342588,225117,0.713,196.56,1.92,NaN,120.25,7
07-12-2012,14,228.56,41.22,0.61,14.18,,391388,342588,225117,0.713,148.97,1.07,NaN,120.11,7
08-12-2012,35,NaN,NaN,NaN,NaN,,391388,342588,225117,0.713,238.91,2.71,NaN,118.88,7
09-12-2012,41,197,40.96,0.37,19.79,,391388,342588,225117,0.713,274.86,3.34,NaN,128.43,7
10-12-2012,23,117.63,53.9,0.47,16.48,,391388,342588,225117,0.713,390.47,6.37,NaN,174.28,6.74
11-12-2012,4,150.34,72.01,0.58,12.54,,391388,342588,225117,0.713,163.14,1.02,NaN,117.28,3.82
12-12-2012,3,174.87,65.44,0.37,13.89,,391388,342588,225117,0.713,192.44,1.68,NaN,73.51,3.21
13-12-2012,5,102.44,51.34,0.52,16.34,,391388,342588,225117,0.713,97.65,NaN,NaN,83.01,4.74
14-12-2012,7,110.4,60.47,0.92,14.65,,391388,342588,225117,0.713,52.04,NaN,NaN,56.09,4.76
15-12-2012,0,NaN,NaN,NaN,NaN,,391388,342588,225117,0.713,111.84,1.26,NaN,90.19,6.77
16-12-2012,1,250.95,61.96,0.57,16.75,,391388,342588,225117,0.713,113.14,1.21,NaN,87.51,3.41
17-12-2012,3,252.06,55.18,0.78,14.37,,391388,342588,225117,0.713,81.41,NaN,NaN,72.21,3.05
18-12-2012,36,246.42,47.76,0.79,14.98,,391388,342588,225117,0.713,90.86,NaN,NaN,86.24,3.39
19-12-2012,43,249.89,44.92,0.97,14.15,,391388,342588,225117,0.713,72.59,NaN,NaN,92.31,3.25
20-12-2012,38,239.56,46.2,0.83,12.95,,391388,342588,225117,0.713,112.19,1.22,NaN,104.6,3.98
21-12-2012,26,225.15,50.26,0.51,13.06,,391388,342588,225117,0.713,208.86,2.41,NaN,95.82,5.93
22-12-2012,24,191.06,57.48,0.44,12.05,,391388,342588,225117,0.713,267.33,3.09,NaN,61.43,5.62
23-12-2012,13,70.01,81.87,0.53,7.51,,391388,342588,225117,0.713,85.79,1.7,NaN,139.65,7.39
24-12-2012,18,224.06,79.53,0.41,8.97,,391388,342588,225117,0.713,104.44,2.55,NaN,164.68,6.47
25-12-2012,4,250.58,78.25,0.46,7.67,,391388,342588,225117,0.713,71.53,1.45,NaN,142.65,3.9
26-12-2012,4,171.76,71.59,0.54,8.27,,391388,342588,225117,0.713,60.32,1.17,NaN,138.01,3
27-12-2012,4,96.86,73.05,0.53,8.12,,391388,342588,225117,0.713,69.82,1.38,NaN,174,8.3
28-12-2012,10,82.34,70.25,0.68,8.09,,391388,342588,225117,0.713,62.8,1.11,NaN,131.1,7.69
29-12-2012,17,122.29,60.05,0.5,11.1,,391388,342588,225117,0.713,90.78,1.48,NaN,136.57,11.89
30-12-2012,11,249.97,64.12,0.5,10.04,,391388,342588,225117,0.713,99.34,1.56,NaN,132.14,3.59
31-12-2012,1,232.83,81.33,0.45,5.79,,391388,342588,225117,0.713,57.73,NaN,NaN,120.6,3.81
01-09-2013,8,195.9,77.49,0.73,NaN,,443960,385931,249922,0.719,18.01,1.37,NaN,39.38,4.35
02-09-2013,4,192.08,68.51,1.15,NaN,,443960,385931,249922,0.719,18.19,1.57,NaN,152.38,5.94
03-09-2013,10,186.44,66.34,1.41,NaN,,443960,385931,249922,0.719,16.59,1.5,NaN,221.91,4.5
04-09-2013,6,184.82,65.84,1.61,NaN,,443960,385931,249922,0.719,16.56,1.33,NaN,337.04,6.13
05-09-2013,6,167.32,60.09,1.49,NaN,,443960,385931,249922,0.719,17.31,1.3,NaN,346.25,4.35
06-09-2013,8,132.77,51.04,1.28,NaN,,443960,385931,249922,0.719,17.09,1.3,NaN,336.84,6.66
07-09-2013,2,132.77,51.04,1.28,NaN,,443960,385931,249922,0.719,18.07,1.55,NaN,361.87,4.22
08-09-2013,2,NaN,NaN,NaN,NaN,,443960,385931,249922,0.719,16.57,1.29,NaN,359.46,7.8
09-09-2013,4,167.51,49.66,1.4,NaN,,443960,385931,249922,0.719,17.24,1.48,NaN,374.91,5.2
10-09-2013,7,129,69.15,0.77,NaN,,443960,385931,249922,0.719,17.54,1.67,NaN,209.83,7.19
11-09-2013,6,113.14,66.47,0.88,NaN,,443960,385931,249922,0.719,17.58,1.51,NaN,51.33,8.75
12-09-2013,12,94.81,73.84,0.86,NaN,,443960,385931,249922,0.719,16.31,1.57,NaN,72.51,10.17
13-09-2013,3,138.2,77.85,0.84,NaN,,443960,385931,249922,0.719,15.83,1.64,NaN,93.56,7.15
14-09-2013,8,147.39,78.83,0.75,NaN,,443960,385931,249922,0.719,14.78,1.9,NaN,77.15,5.84
15-09-2013,5,150.17,72.99,0.91,NaN,,443960,385931,249922,0.719,14.11,2.02,NaN,126.05,6.32
16-09-2013,6,126.74,72.47,1.01,NaN,,443960,385931,249922,0.719,15.42,1.69,NaN,25.9,8.42
17-09-2013,14,158.29,67.51,0.77,NaN,,443960,385931,249922,0.719,14.35,1.6,NaN,135.12,6.98
18-09-2013,9,162.33,68.23,0.86,NaN,,443960,385931,249922,0.719,15.24,1.81,NaN,151.54,6.54
19-09-2013,22,184.18,73.08,0.83,NaN,,443960,385931,249922,0.719,15.76,1.7,NaN,46.38,9.16
20-09-2013,32,149.03,85.6,1.1,NaN,,443960,385931,249922,0.719,13.92,1.45,NaN,51.09,12.62
21-09-2013,22,181.11,95.55,1.21,NaN,,443960,385931,249922,0.719,13.88,1.49,NaN,42.78,7.89
22-09-2013,38,156.44,90.86,0.79,NaN,,443960,385931,249922,0.719,12.91,1.64,NaN,24.73,4.94
23-09-2013,41,135.92,83.31,0.7,NaN,,443960,385931,249922,0.719,13.22,1.33,NaN,24.97,5.57
24-09-2013,25,99.66,84.39,0.86,NaN,,443960,385931,249922,0.719,13.97,1.62,NaN,24.99,4.35
25-09-2013,41,115.8,86.55,0.83,NaN,,443960,385931,249922,0.719,13.81,1.67,NaN,25,7.68
26-09-2013,34,61.9,94.75,0.73,NaN,,443960,385931,249922,0.719,13.44,1.77,NaN,40.73,4.75
27-09-2013,44,97.35,89.61,0.72,NaN,,443960,385931,249922,0.719,12.56,1.68,NaN,47.25,4.15
28-09-2013,88,114.58,84.59,0.63,NaN,,443960,385931,249922,0.719,13.47,1.88,NaN,41.86,6.82
29-09-2013,56,119.42,94.45,0.62,NaN,,443960,385931,249922,0.719,11.05,1.99,NaN,79.74,5.39
